s,label
Q6999,astronomical object
Q1002787,dark-energy star
Q1007122,G-type star
Q1012875,circumstellar dust
Q101600,brown dwarf
Q1022867,minor planet
Q1023342,CEMP star
Q1023686,CI chondrite
Q1027098,fusor
Q1028022,gravitational microlensing
Q1036344,hypervelocity star
Q1037127,desert planet
Q10424933,backward galaxy
Q1044693,Herbig Ae/Be star
Q1045138,ocean planet
Q10451997,classical Cepheid variable
Q104530641,CR chondrite
Q104530711,CK chondrite
Q104532912,CB chondrite
Q10458671,population III star
Q1047034,stellar black hole
Q1048303,Amor asteroid
Q1048372,blue supergiant
Q1048390,Aten asteroid
Q104853025,direct collapse black hole
Q1049029,Type II supernova
Q1050633,intermediate-mass black hole
Q1054411,semiregular variable star
Q1054444,interstellar cloud
Q105756182,captured asteroid
Q1059564,cataclysmic variable star
Q1059884,strewn-field-producing meteorite
Q1060455,non-periodic comet
Q1060667,super soft X-ray source
Q106129188,WISP
Q1062169,carbonaceous chondrite
Q1062509,pre-main-sequence star
Q106570768,2020 MK4
Q1067416,circumpolar constellation
Q1067440,pallasite
Q1071174,Q star
Q10734,centaur
Q1073768,sub-brown dwarf
Q1074076,Chinese constellation
Q1074920,Lyman-alpha emitter
Q1079825,ultra-short period planet
Q1081175,South Star
Q108308004,hycean planet
Q108336434,Toroidal planet
Q1086783,regular moon
Q108916,Ananke group
Q108923,Himalia group
Q109000788,Circumtriple planet
Q109101277,star-forming galaxy
Q109315389,Marsden  Group comets
Q109358428,ring of Haumea
Q109367384,Exo-Io
Q1094364,rotating black hole
Q1095693,F-type asteroid
Q109641594,dwarf-planet moon
Q109645860,planetary moon
Q109645909,astronomical object in the Solar System
Q109646359,captured moon
Q1103085,K-type star
Q111181539,Rogue black hole
Q111675223,micronova
Q11176,claimed moons of Earth
Q11276,globular cluster
Q11282,H II region
Q112881,solar analog
Q1129252,weakly interacting massive particle
Q112961501,magnetic cataclysmic variable star
Q113123664,intergalactic
Q113123742,interplanetary
Q1131585,Three Enclosures
Q1132863,near-Earth supernova
Q1133705,galaxy filament
Q1135397,classical planet
